  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
       399      5.076           5.047           6.223           5.535
       400      5.145           5.110           6.270           5.585
       401      5.076           5.047           6.233           5.540
       402      5.094           5.062           6.260           5.561
       403      4.967           4.946           6.179           5.468
       404      5.057           5.032           6.288           5.567
       405      4.974           4.951           6.203           5.487
       406      4.881           4.856           6.083           5.382
       407      5.016           4.997           6.208           5.517
       408      5.017           4.992           6.284           5.552
       409      5.109           5.081           6.319           5.609
       410      5.216           5.187           6.403           5.696
       411      5.306           5.273           6.516           5.781
       412      5.243           5.213           6.420           5.705
       413      5.243           5.217           6.488           5.740
       414      5.274           5.242           6.504           5.759
       415      5.361           5.338           6.532           5.810
       416      5.242           5.220           6.485           5.737
       417      5.327           5.304           6.572           5.820
       418      5.132           5.114           6.359           5.627
       419      5.174           5.153           6.393           5.669
       420      5.183           5.157           6.371           5.651
       421      5.051           5.020           6.300           5.553
       422      5.023           4.993           6.240           5.506
       423      5.068           5.039           6.300           5.559
       424      5.111           5.080           6.343           5.616
       425      5.054           5.020           6.270           5.545
       426      4.990           4.964           6.254           5.511
       427      5.054           5.034           6.299           5.569
       428      5.040           5.007           6.315           5.562
       429      5.168           5.136           6.346           5.638
       430      5.183           5.156           6.412           5.679
       431      5.317           5.288           6.524           5.794
       432      5.077           5.046           6.299           5.567
       433      5.176           5.148           6.392           5.652
       434      5.303           5.268           6.480           5.753
       435      5.333           5.301           6.503           5.794
       436      5.388           5.351           6.530           5.830
       437      5.276           5.240           6.478           5.750
       438      5.356           5.321           6.543           5.818
       439      5.329           5.296           6.580           5.836
       440      5.289           5.250           6.537           5.803
       441      5.299           5.270           6.527           5.795
       442      5.363           5.337           6.587           5.861
       443      5.235           5.203           6.475           5.735
       444      5.206           5.176           6.439           5.714
       445      5.179           5.141           6.437           5.702
       446      5.081           5.040           6.379           5.613
       447      5.242           5.202           6.437           5.736
       448      5.106           5.079           6.345           5.629
       449      5.172           5.141           6.391           5.681
       450      5.134           5.103           6.369           5.658
       451      5.109           5.074           6.373           5.645
       452      5.101           5.071           6.340           5.614
       453      4.991           4.958           6.244           5.511
       454      5.108           5.069           6.365           5.631
       455      5.115           5.081           6.314           5.596
       456      5.068           5.035           6.310           5.587
       457      4.968           4.943           6.203           5.493
       458      5.052           5.027           6.287           5.573
       459      5.078           5.055           6.277           5.572
       460      5.001           4.971           6.251           5.529
       461      5.089           5.057           6.299           5.596
       462      4.955           4.926           6.229           5.497
       463      5.081           5.047           6.318           5.610
       464      4.971           4.937           6.262           5.512
       465      5.027           5.001           6.318           5.583
       466      4.896           4.868           6.180           5.453
       467      4.980           4.946           6.259           5.545
       468      4.911           4.884           6.184           5.455
       469      5.074           5.037           6.338           5.619
       470      5.097           5.056           6.377           5.642
       471      5.174           5.134           6.442           5.710
       472      5.023           4.979           6.317           5.583
       473      5.271           5.232           6.540           5.816
       474      5.260           5.214           6.497           5.775
       475      5.134           5.088           6.415           5.685
       476      5.234           5.202           6.481           5.765
       477      5.268           5.228           6.482           5.784
       478      5.219           5.184           6.424           5.738
       479      5.154           5.118           6.379           5.673
       480      5.191           5.157           6.434           5.714
       481      5.165           5.136           6.384           5.681
       482      5.093           5.057           6.343           5.630
       483      5.066           5.028           6.327           5.612
       484      5.082           5.052           6.344           5.635
       485      5.194           5.154           6.450           5.733
       486      5.205           5.159           6.455           5.745
       487      5.348           5.301           6.593           5.880
       488      5.426           5.391           6.640           5.943
       489      5.507           5.445           6.779           6.052
       490      5.512           5.465           6.772           6.057
       491      5.641           5.605           6.842           6.141
       492      5.621           5.585           6.801           6.124
       493      5.586           5.544           6.814           6.116
       494      5.466           5.424           6.746           6.020
       495      5.395           5.351           6.683           5.955
       496      5.492           5.452           6.791           6.073
       497      5.473           5.429           6.768           6.052
       498      5.378           5.330           6.672           5.953
       499      5.414           5.370           6.711           5.998
       500      5.405           5.358           6.727           5.993
       501      5.453           5.403           6.685           5.987
       502      5.324           5.283           6.582           5.870
       503      5.431           5.383           6.661           5.962
       504      5.443           5.393           6.728           6.011
       505      5.463           5.410           6.718           6.016
       506      5.489           5.442           6.745           6.031
       507      5.543           5.499           6.805           6.095
       508      5.438           5.388           6.726           5.998
       509      5.447           5.405           6.758           6.027
       510      5.439           5.391           6.790           6.033
       511      5.320           5.279           6.625           5.897
       512      5.296           5.251           6.597           5.875
       513      5.263           5.214           6.599           5.856
       514      5.419           5.378           6.660           5.977
       515      5.400           5.351           6.651           5.957
       516      5.139           5.099           6.447           5.720
       517      5.395           5.345           6.700           5.977
       518      5.463           5.418           6.759           6.037
       519      5.444           5.398           6.732           6.016
       520      5.404           5.354           6.721           5.992
       521      5.544           5.492           6.865           6.141
       522      5.205           5.153           6.546           5.811
       523      5.262           5.213           6.565           5.847
       524      5.340           5.283           6.620           5.908
       525      5.454           5.408           6.714           6.015
       526      5.290           5.239           6.617           5.886
       527      5.340           5.294           6.677           5.947
       528      5.467           5.419           6.783           6.059
       529      5.394           5.345           6.711           5.989
       530      5.378           5.327           6.673           5.959
       531      5.443           5.394           6.746           6.024
       532      5.350           5.298           6.660           5.929
       533      5.149           5.102           6.469           5.740
       534      5.290           5.238           6.600           5.879
       535      5.523           5.464           6.764           6.083
       536      5.339           5.296           6.655           5.939
       537      5.204           5.155           6.552           5.822
       538      5.277           5.228           6.560           5.857
       539      5.226           5.186           6.479           5.795
       540      5.294           5.248           6.557           5.865
       541      5.365           5.311           6.667           5.959
       542      5.491           5.430           6.782           6.082
       543      5.558           5.500           6.818           6.125
       544      5.582           5.528           6.834           6.145
       545      5.633           5.568           6.906           6.206
       546      5.657           5.601           6.900           6.217
       547      5.781           5.725           6.955           6.295
       548      5.636           5.578           6.798           6.135
       549      5.756           5.703           6.960           6.284
       550      5.608           5.549           6.875           6.165
       551      5.628           5.576           6.874           6.179
       552      5.612           5.559           6.835           6.144
       553      5.643           5.592           6.890           6.187
       554      5.733           5.683           6.936           6.247
       555      5.496           5.443           6.756           6.052
       556      5.492           5.444           6.710           6.027
       557      5.631           5.574           6.848           6.159
       558      5.529           5.473           6.775           6.076
       559      5.622           5.571           6.839           6.155
       560      5.450           5.398           6.717           6.006
       561      5.497           5.447           6.699           6.013
       562      5.389           5.341           6.621           5.920
       563      5.571           5.517           6.782           6.094
       564      5.499           5.434           6.735           6.035
       565      5.491           5.441           6.649           5.991
       566      5.408           5.354           6.617           5.933
       567      5.497           5.451           6.731           6.044
